deptime,avg_arrdelay
1129,3.863877430760165
1156,3.8761647129546137
1301,3.877931945820945
1007,3.8795831006886283
1032,3.897196261682243
1138,3.927732463295269
1253,3.9339133089133087
1003,3.974446032880629
934,4.008822401227465
1114,4.031061259706644
1119,4.032568467801628
1048,4.0546114502557336
943,4.08584729981378
1139,4.0943245403677055
1143,4.107565789473684
1320,4.119354299096688
1221,4.123403520883673
931,4.126455566905005
1101,4.159547493661011
1136,4.208899876390606
1113,4.244448299791811
947,4.252187748607796
1157,4.257464960390006
932,4.308545211240681
1335,4.3193399660276635
1137,4.328958581898756
1142,4.381349011922261
1117,4.3818918442839525
946,4.3962581458902665
1249,4.3990715543460865
1158,4.3998507462686565
1315,4.4110769755931045
1241,4.457444964465245
1147,4.488372093023256
1144,4.502705444707474
1236,4.51090844062947
1141,4.51137171286425
1311,4.532009221493173
1355,4.553239389643959
1455,4.5990374492404875
1008,4.59959721713658
1131,4.60674778761062
1304,4.615260003239916
1016,4.623520279448865
1405,4.646458200382897
1233,4.656401673640167
1148,4.661590524534687
1146,4.666480965645311
1302,4.6915104404816335
1330,4.693996965975583
1231,4.712095106822881
1239,4.722407469156385
1308,4.728748068006182
1159,4.7314610287156835
1149,4.749472944483486
1234,4.766689143627781
1244,4.776009381805998
1206,4.7881340071121095
1009,4.8108409133098196
1109,4.822483163529615
1211,4.822553271732981
1248,4.846093257718967
1306,4.946398937935612
1324,4.9656200941915225
1242,4.968048500737343
1014,4.998702983138781
1202,5.008465417867435
1204,5.024468655116985
1321,5.024788934794324
1400,5.060873186645381
1017,5.062226450999049
1309,5.1041980264258235
1019,5.106817281014665
1329,5.136883802816901
1237,5.154517453798768
1340,5.168813326464022
1201,5.1727125067677315
1326,5.17475884244373
1246,5.217313218390805
1207,5.229347826086957
1327,5.263711829232138
1247,5.287015568068897
1307,5.320865828425911
1303,5.333074534161491
1328,5.333649417502032
1323,5.343631778058008
1322,5.409076279369167
1313,5.4368915456874465
1217,5.456333038086803
1456,5.507979936160511
1356,5.510997768568696
1219,5.511787473610133
1500,5.514310602289696
1134,5.515025343953657
1331,5.5321018651362985
1218,5.532905018232332
1213,5.535707893323788
1214,5.548170952553423
1232,5.550970075633016
1420,5.5518596123624935
1345,5.5547987616099075
1243,5.566183733947975
1208,5.6298119177359816
1312,5.635454689731788
1238,5.6396820246593125
1350,5.640950607431054
1430,5.796331387857197
1216,5.84375
1132,5.84698313336811
1133,5.894469525959368
1337,5.938522558254834
1505,5.948929159802306
1212,5.948960653303637
